Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710108000.0 1005.0 NA 177 120 0 0 NA 3683 3566 0 0 NA 1406 540 224 271 NA 1332 552 247 336
1710108000.0 101.0 132 NA NA NA NA 3626 NA NA NA NA 2077 NA NA NA NA 1548 NA NA NA NA
1710108000.0 1010.0 NA 73 67 0 NA NA 3489 3474 0 NA NA 301 432 384 NA NA 370 457 431 NA
1710108000.0 102.0 124 NA NA NA NA 3604 NA NA NA NA 1925 NA NA NA NA 1498 NA NA NA NA
1710108000.0 1020.0 NA 50 52 0 57 NA 3501 3461 0 3499 NA 383 264 166 433 NA 451 301 199 544
1710108000.0 1040.1 NA 87 55 0 NA NA 3527 3453 0 NA NA 723 338 234 NA NA 815 371 260 NA
1710108000.0 1041.0 NA 92 57 0 NA NA 3526 3462 0 NA NA 462 320 162 NA NA 511 349 184 NA
1710108000.0 1042.0 NA 103 65 0 NA NA 3526 3456 0 NA NA 966 341 145 NA NA 1126 355 166 NA
1710108000.0 1043.0 NA 67 77 0 NA NA 3506 3465 0 NA NA 654 332 192 NA NA 590 385 270 NA
1710108000.0 1044.0 NA 66 57 0 NA NA 3506 3474 0 NA NA 648 414 178 NA NA 572 401 207 NA
1710108000.0 1045.0 NA 69 58 0 NA NA 3508 3471 0 NA NA 568 383 136 NA NA 532 368 157 NA
1710108000.0 1052.0 NA 178 116 0 NA NA 3685 3565 0 NA NA 1409 645 146 NA NA 1323 659 167 NA
1710108000.0 1052.1 NA 107 0 NA NA NA 3581 0 NA NA NA 595 153 NA NA NA 609 181 NA NA
1710108000.0 106.0 87 0 0 NA NA 3523 0 0 NA NA 1489 258 4242 NA NA 1278 281 4192 NA NA
1710108000.0 1060.1 NA 117 NA NA NA NA 3608 NA NA NA NA 1396 NA NA NA NA 1064 NA NA NA
1710108000.0 1060.2 NA 131 NA NA NA NA 3616 NA NA NA NA 1082 NA NA NA NA 847 NA NA NA
1710108000.0 11634.1 NA 227 267 0 NA NA 3706 3753 0 NA NA 1152 2093 1214 NA NA 631 1717 1262 NA
1710108000.0 123.1 360 NA NA NA NA 3853 NA NA NA NA 2635 NA NA NA NA 1962 NA NA NA NA
1710108000.0 123.2 357 NA NA NA NA 3861 NA NA NA NA 3113 NA NA NA NA 2043 NA NA NA NA
1710108000.0 123.3 298 NA NA NA NA 3770 NA NA NA NA 1897 NA NA NA NA 1468 NA NA NA NA
1710108000.0 124.1 350 NA NA NA NA 3816 NA NA NA NA 1935 NA NA NA NA 1449 NA NA NA NA
1710108000.0 124.2 364 NA NA NA NA 3872 NA NA NA NA 2299 NA NA NA NA 1659 NA NA NA NA
1710108000.0 124.4 353 NA NA NA NA 3816 NA NA NA NA 1965 NA NA NA NA 1456 NA NA NA NA
