Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1710025200.0 1.0 157 162 277 NA NA NA NA NA NA 252 225 394 NA NA NA NA NA NA 1316 304 828 NA NA NA NA NA NA 1014 393 997 NA NA NA NA NA NA
1710025200.0 1000.0 NA 359 240 0 106 NA NA NA NA NA 497 313 0 160 NA NA NA NA NA 2163 697 300 237 NA NA NA NA NA 2005 1296 715 366 NA NA NA NA
1710025200.0 10002.0 NA 278 453 0 143 161 NA NA NA NA 358 641 0 206 241 NA NA NA NA 1530 1521 403 328 460 NA NA NA NA 671 1873 494 665 571 NA NA NA
1710025200.0 10003.0 NA 280 449 0 145 163 NA NA NA NA 361 636 0 209 241 NA NA NA NA 1534 1492 410 318 456 NA NA NA NA 711 1526 565 560 550 NA NA NA
1710025200.0 10004.0 NA 279 453 0 145 160 NA NA NA NA 360 638 0 206 243 NA NA NA NA 1534 1495 400 320 463 NA NA NA NA 723 1934 519 514 773 NA NA NA
1710025200.0 10005.0 NA 279 445 0 144 162 NA NA NA NA 367 636 0 205 239 NA NA NA NA 1459 1469 388 287 427 NA NA NA NA 603 1613 443 343 489 NA NA NA
1710025200.0 10006.0 NA 277 450 0 142 157 NA NA NA NA 374 649 0 204 237 NA NA NA NA 1545 1428 399 321 460 NA NA NA NA 948 1550 492 654 837 NA NA NA
1710025200.0 10007.0 NA 273 458 0 174 161 NA NA NA NA 358 622 0 275 242 NA NA NA NA 1501 1439 390 319 431 NA NA NA NA 1006 1994 570 747 562 NA NA NA
1710025200.0 10009.0 NA 281 461 0 175 162 NA NA NA NA 363 641 0 279 244 NA NA NA NA 1516 1569 400 325 457 NA NA NA NA 626 2335 461 555 559 NA NA NA
1710025200.0 1001.0 NA 315 181 0 0 0 0 0 0 NA 447 257 0 0 0 0 0 0 NA 1975 387 85 65 100 212 112 217 NA 1703 663 160 140 235 262 150 329
1710025200.0 1001.2 NA 516 224 0 0 0 0 NA NA NA 733 339 0 0 0 0 NA NA NA 9710 742 105 114 122 138 NA NA NA 4090 609 180 260 281 250 NA NA
1710025200.0 1001.3 NA 498 217 0 NA NA NA NA NA NA 701 330 0 NA NA NA NA NA NA 7555 791 214 NA NA NA NA NA NA 2993 749 314 NA NA NA NA NA
1710025200.0 1002.0 NA 359 131 NA NA NA NA NA NA NA 482 164 NA NA NA NA NA NA NA 2261 188 NA NA NA NA NA NA NA 1804 242 NA NA NA NA NA NA
1710025200.0 10023.0 NA 278 441 0 144 157 NA NA NA NA 363 629 0 207 238 NA NA NA NA 1527 1464 371 322 434 NA NA NA NA 608 1735 401 674 556 NA NA NA
1710025200.0 10024.0 NA 289 475 0 177 164 NA NA NA NA 381 658 0 288 245 NA NA NA NA 1571 1678 433 315 469 NA NA NA NA 1021 1789 583 400 612 NA NA NA
1710025200.0 10025.0 NA 282 462 0 143 161 NA NA NA NA 360 629 0 207 241 NA NA NA NA 1540 1453 427 329 447 NA NA NA NA 662 1422 612 599 597 NA NA NA
1710025200.0 10026.0 NA 293 479 0 149 163 NA NA NA NA 374 631 0 209 239 NA NA NA NA 1500 1742 423 315 451 NA NA NA NA 698 1685 627 722 549 NA NA NA
1710025200.0 1003.0 NA 380 0 NA NA NA NA NA NA NA 617 0 NA NA NA NA NA NA NA 2399 250 NA NA NA NA NA NA NA 2228 307 NA NA NA NA NA NA
